query1925,"""Tapusin ng taon exams"""
query2486,insekto
query3530,"""Presyon ng dugo"" [sobra: medikal na kondisyon]"
query3637,"""<Broadcast> nakatira [syn: sa real time]"""
query3772,<Baga> [sobra: body part]
query1236,"""Bukung-bells"""
query3011,"spy [sobra: tao], bomba [sobra: explosive]"
query482,"""aksidente sa kalsada"""
query3532,"bawasan [syn: magpaikli], aksidente [syn: mishap]"
query478,"""British kolonya"""
query1997,"""Konseho ng lungsod"""
query1528,"Bungoma, factory"
query1930,muling itayo
query1824,"sustainability, motorcycle"
query3993,"""Magpakamatay"" [syn: self murder], gun [sobra: armas]"
query1637,"""Al Bashir"", presidente"
query1980,"""Mirasol langis"""
query1899,crown [sobra: headgear]
query1916,"basura, hagdan"
query2012,simbahan
query1412,"publicity, protesta"
query1904,"""Red Cross"" [sobra: aid organisasyon]"
query1639,Ugandan [syn: tao mula sa Uganda]
query1539,"Brazil, refugee"
query1554,"Shimoni, ""pampulitikang refugee"""
query1056,tula
query1820,almusal
query1903,niyebe
query1634,port [syn: harbor]
query1424,library [EVF: libro]
query1648,palaso
query3609,"""Peace treaty"" [syn: peace agreement], batas"
query1908,ipis
query1053,hunghang
query1617,bote [sobra: container]
query375,"mga balita, taya ng panahon"
query483,halalang karagdagan
query3485,martilyo [sobra: kamay tool]
query3998,"""<Ginawa> pagod"""
query1408,"larawan [syn: larawang kuha], ang hotel"
query1626,"""Sugar factory"""
query3539,"imbitasyon [syn: request na dumalo], pormal [syn: opisyal]"
query2270,salawahan
query1641,"orange [sobra: prutas], karunungan"
query4035,<Abstained> [syn: i-hold pabalik mula sa paggawa]
query1532,"Singapore, baboy"
query1901,putbol
query1443,"club [syn: association], tugma [EVF: competition]"
query1057,"""Mapabuti ang transportasyon"""
query2022,schistosomiasis
query1802,rent house
query1852,kabayo [sobra: hayop]
query1787,kalasag [sobra: baluti]
query3564,planeta
query2985,pabor [syn: boon]
query1964,motorsiklo
query3261,band [EVF: musika]
query1405,bawal na gamot [sobra: ipinagbabawal na sangkap]
query3793,donut [sobra: pagkain]
query480,baril
query468,coffee [sobra: inumin]
query3515,"stage [syn: arena], ""South Africa"""
query2015,ghost [syn: espiritu]
query3814,tsite
query4344,"lagyan ng pataba [syn: mag-aplay nutrients], lupa [syn: lupa]"
query1635,paraiso
query1465,"""Pampublikong enterprise"""
query1792,kanal [syn: trench]
query1910,gulong [EVF: cars]
query1816,pinya [sobra: prutas]
query1999,munisipal
query1541,"Sahara, ""sanggol dami ng namamatay"""
query4030,<Matches> [sobra: lighter]
query1631,"mukha [syn: pagmumukha], lupa [syn: mundo]"
query1444,"pipe [syn: water conduit], presyon [sobra: pisikal na dahas]"
query3049,ugat [syn: pinagmulan]
query1954,deforestation
query2000,"""Representante alkalde"""
query2684,"""Pambansang koponan"""
query3700,"""Makalupa kaldero"", tubig [sobra: liquid]"
query2908,"""Bungal na tao"""
query2021,sakit elepantiasis
query1644,"krisis, solusyon [syn: Ang sagot]"
query1419,"""Maliit na grupo"", party [EVF: politika]"
query472,"factory, strike [EVF: labor]"
query3044,pagkabata
query2234,pilot [syn: manlilipad]
query2002,ledger [syn: account aklat]
query1817,kuneho
query484,"""Stock exchange"""
query1638,bishop [sobra: relihiyon]
query1406,"""Vice president"""
query1421,"""Ang pinaka importanteng bagay"""
query1645,kutsilyo
query1404,isda [sobra: hayop]
query1988,bishop [EVF: relihiyon]
query1851,baboy [sobra: baboy karne]
query1409,"ambassador, camera"
query1975,marihuwana
query2020,worm [sobra: parasite]
query3518,"congratulation [syn: pagbati], USA"
query1647,saludo [sobra: pormal na kilos]
query1054,"""Sikretong serbisyo"""
query1096,plaslayt
query3360,<Museo>
query1521,pantas-aral
query3524,"itim [syn: maitim], kulay [syn: hue]"
query1030,"""Sa ilalim ng kama"""
query1721,hapon
query1495,"buntis [EVF: kapanganakan ng bata], kapitbahay"
query2933,"dagdagan ang [syn: maging mas malaki], presyo [syn: halagang hinggil sa pananalapi]"
query3647,kasuy [sobra: kulay ng nuwes]
query1865,entrepreneurship
query2017,abogado
query993,"speech, kamatayan"
query1598,elepante
query2725,kimiko
query2731,bakterya
query2959,"sa wakas [syn: huli], Bukoba"
query1745,"Nyanza, bansa"
query1974,mirror [syn: reflector]
query988,"""Mag-ulat ng pulisya"""
query1985,shadow [syn: shade]
query2447,"""Cultural heritage"""
query1707,"babala, catalog"
query3120,"""balikat sa balikat"""
query1960,"gun [sobra: armas], pagtatanggol [syn: proteksyon]"
query3215,<Predecessors>
query2498,mangingisda
query3583,"""Magandang babae"", Kenya"
query2031,"ari-arian [EVF: lupa], bank"
query3390,green [sobra: ang kulay]
query1868,mapanlinlang
query1683,kilometro
query1858,"""Pambansang simbolo"""
query2956,<Patatas>
query3748,unti-unting lumaganap [syn: habulin ng patago]
query4183,"kamakailan-lamang na [syn: Hindi matagal na ang nakalipas], bisitahin ang [syn: trip]"
query3008,"coordinator, pagdiriwang"
query1719,bumalik [EVF: anatomya]
query1491,maselan
query1984,"""ang Amerikanong Pangarap"""
query1036,daga [sobra: hayop]
query982,"""Buhay na may diyabetis"""
query728,"""panauhing pandangal"""
query3736,<Fugitives> [syn: taong escaping mula sa batas o manunugis]
query984,sugar [sobra: pangpatamis]
query2003,bitamina
query3309,"pangalanan [sobra: ibinigay na pangalan], babae [sobra: tao]"
query1713,tinapay [sobra: pagkain]
query4040,keso [sobra: pagawaan ng gatas by-produkto]
query1501,dumura [syn: ilura]
query1714,"katawan [EVF: anatomya], respeto"
query1693,banana [sobra: prutas]
query1853,kasangkapan
query2006,potasa
query3612,daliri [EVF: anatomya]
query3590,"pamahalaan [syn: paghari], i-flag [syn: banner]"
query3366,<Minana>
query1146,bible [EVF: relihiyon]
query3500,"""<Nagising> sa umaga"""
query1670,"title [syn: heading], return"
query1951,balinguyngoy
query1672,twin [sobra: tao]
query1989,mga paputok
query2958,<Albino> [sobra: tao]
query2971,<Smokers> [EVF: tabako]
query1691,"king [syn: monarch], kanta"
query3397,prostitusyon [syn: pakikiapid]
query4286,"""Tirintas ng buhok"""
query1941,pader
query3288,suklayin [sobra: toiletry]
query2899,milisiya
query2976,"""Estado bahay"" [syn: presidential residence]"
query1023,"sulat, pakikiramay"
query2023,"institusyon [sobra: samahan], seminar"
query3159,"club [syn: league], entertainment"
query1728,"""Pansamantalang trabaho"""
query3018,ax [EVF: Ang tool]
query1864,tagapagsalin
query1340,hukuman [EVF: batas]
query1688,bucket [sobra: container]
query1866,editor
query1519,"well [sobra: water source], village"
query1871,"""Kulturang Tsino"""
query1729,e-mail
query3934,amoy [syn: amoy]
query1885,"talento [syn: kakayahan], artist"
query1718,tunog ng kulog [syn: pumalakpak]
query1681,license [sobra: ang pahintulot]
query1230,kutsara [sobra: utensil]
query3402,"dekorasyunan [syn: pagandahin], babae [syn: woman]"
query3636,"""Pribadong bahagi"" [EVF: genitalia]"
query3113,almusal
query2503,kusina
query3290,desk [sobra: furniture]
query1993,gasolina
query4047,"damdamin [syn: mental state], kapatawaran [syn: pardon]"
query3041,"kaibigan [sobra: tao], farm [syn: nilinang lupa]"
query716,"palakasin, bond"
query1785,bintana
query3517,"""Bid para sa"" [syn: malambot para]"
query1338,"utang, debate"
query3977,"hub [syn: focal point], commerce [syn: pagbili at nagbebenta]"
query701,Pangangalaga sa kalusugan
query4001,"""Labor force"" [sobra: employment], porsyento"
query1335,"""Ang pababago"""
query2025,"""Agrikultura patakaran na"""
query1982,makeup [syn: cosmetics]
query1725,"kapatid na babae [sobra: kapatid], umaga"