query879,"""It angry"""
query485,"""Gharama ya posho maisha"""
query1122,"""Kama baridi kama"""
query337,"""Mafuta <makampuni>"""
query312,"Kitagalogi, uchaguzi"
query336,"""Uhaba wa umeme"""
query355,kaa
query414,"""Kigaidi kundi"""
query341,"mvua, upepo"
query1923,giggle [hyp: kucheka]
query894,"Masbate, uchaguzi"
query1902,"rushwa, mkataba"
query1414,"""Taifa zao wenyewe"""
query433,"Cebu, mahojiano"
query1255,anchorage
query405,"ndege, Japan"
query359,<Majengo>
query109,"""Ya kunywa pombe"""
query1150,kazi
query1263,"""Haraka kama umeme"""
query1119,"Samar, mvuvi"
query368,"""Mvua na mvua"""
query747,"""Polisi mbwa"""
query1144,"Biblia [EVF: dini], hadithi"
query461,"""Shati jeupe"""
query1772,"""Adhabu ya kifo"""
query540,Sulu
query1261,"""Bandia hali ya"""
query1373,"Kichina, gavana"
query756,"""Lugha ya asili"""
query881,"""Kuvunjwa dirisha"""
query830,"""Zamani siku ya kuzaliwa ya Rais"""
query1884,"""Mkoa wa baraza"", rasmi [syn: rasmi]"
query3987,"""Roho <miradi>"""
query460,"habari, dawa"
query1963,"utamaduni [EVF: sanaa na masomo ya kibinadamu], mwanafunzi"
query614,"""Mapato yao"""
query464,"""Matokeo ya uchaguzi"""
query3107,za wazimu
query441,"fedha, kanisa"
query481,"""Kusaga takataka"""
query114,"hospitali, Manila"
query1241,istilahi
query103,"""Waasi Kikomunisti"""
query1007,"muhimu [syn: muhimu], operesheni [syn: kazi]"
query3598,"""<Kunywa> kahawa"""
query2216,systematisk
query933,"""Wao si sadists"""
query1301,"uhamisho, kichwa [EVF: mali]"
query781,"""Watoto wa mitaani"""
query533,"""Damu yao"""
query2207,"""Maisha msaada"""
query2292,Imelda
query620,ukuta [EVF: kizuizi]
query307,"""Laki moja peso"""
query137,"""Maoist uasi"""
query1371,"""Vitabu kwa ajili ya watoto"""
query366,wasomi
query1068,"jeepney, abiria"
query363,"""Msemaji wa rais"""
query1753,Riyadh
query1523,"""Kusafiri America"""
query4181,Tago [hyp: jina]
query338,"""Mafuta ugavi"""
query313,"uchaguzi, mashine"
query3968,"""Eunice Samonte"""
query528,"""Tishio la usalama"""
query188,"Kichina, mvuvi"
query471,"""Mfumo wa mahakama"""
query1288,"""Wajibu wa mtu binafsi"""
query1473,"""Pirated DVD"""
query779,kunguni
query1078,mgomo
query419,"ubinafsishaji, maji"
query2559,"""Idara ya Afya"", <chanjo>"
query742,"""Vita dhidi ya madawa ya kulevya"""
query1303,"""Usalama wa kijamii"", mchango"
query306,"Palawan, mpango"
query1109,"""Mwathirika maiti"""
query523,"""Hadi Jumapili"""
query1391,"Paris, pango [syn: pango]"
query392,kupelekwa
query673,"""Ushahidi wa kutosha"""
query435,"""Haramu ya madini"""
query139,"Ilocano, butterfly"
query1810,"""Mageuzi ya ardhi"""
query434,"""Sekta ya utalii"""
query4273,<Washauri>
query1052,"""Watoto 'haki za"""
query1577,"Davao, ""100 walimu wapya"""
query1834,rag [syn: kuifuta nguo]
query1237,"Laoag, ""joto kali"""
query123,"kodi, hotuba [syn: hotuba]"
query1021,"dunia, mgogoro"
query174,"""Mimi nina hofu"", kususia"
query494,"""Kijeshi sheria mwathirika"""
query1128,"makosa, daraja"
query4373,"""Maskini <familia>"""
query661,"Duterte, urafiki"
query503,"""Sababu nyingi"""
query345,"miundombinu, mpango"
query408,mermaid
query1316,ufanisi
query904,Fireman
query1330,"paka, ""iliyobaki chakula"""
query1567,Youtube
query990,"""Majani ya ndizi"""
query2049,hisabati
query3306,leso
query1376,"""Kamili ya mkaa"""
query1758,mfereji [hyp: njia za maji]
query991,"Adobo, nyama"
query1759,"""Mdogo dada"" [hyp: kike]"
query3302,"""Chumvi yai"""
query416,"mshahara, mwalimu"
query753,mwanga [EVF: uzito]
query1591,paa
query330,"""Sare polisi"""
query439,siki
query1388,"""Stinky hewani"""
query113,"""Maji nyati"""
query1715,"""Inaweza kwenda sasa"""
query2557,<Kulishwa>
query573,"""Jirani yako"""
query1248,"ujinga, nafsi"
query922,"kiti [hyp: samani], kitabu"
query1839,pweza
query771,pomelo
query455,"""Lugha ya taifa"""
query1905,adventure
query117,"""Agosti 29"" [hyp: tarehe]"
query357,"""Yangu <wanafunzi>"""
query1037,"""Ya sumu"""
query2044,"""Bay jani"""
query961,"""Trafiki mwanga"""
query834,"""Mrefu au mfupi"""
query1692,wakala [syn: middleman]
query774,pekee [EVF: mguu]
query332,"""Barangay Mangingisda"""
query2078,papa
query930,earring
query1938,uma [hyp: chombo]
query1395,playful
query525,wimbo
query2047,Tausi
query1272,"""Hewa safi"""
query754,"""Ice cream"""
query2294,mapera
query559,"""kuku choma"""
query1682,kioo [syn: kuonyesha uso]
query1833,bahari
query966,"Christian, ""kufa kwa njaa"""
query1196,watermelon
query813,Lukban
query532,tweet
query2043,"""Fasihi Filipino"""
query1463,kanuni
query948,"shingo, kesho"
query736,"""Nyama supu"""
query1273,"tope, mvua"
query960,"""Trafiki mwanga"""
query1580,ushirikina
query422,"""Mabadiliko ya jamii"""
query1380,"plastiki, uma [hyp: chombo]"
query1757,"utata, swali [syn: uchunguzi]"
query557,"""Kaa mawazo"""
query3818,"""Wewe ni kama chura"""
query3102,"""Java plum"""
query100,"vitunguu, pilipili"
query2117,Chavacano
query1690,"mlinzi [syn: Mlinzi wa], nyumba"
query788,"wajibu, mwalimu"
query1742,"kutangaza, ""siku tatu"""
query1347,"""Ray ya jua"""
query172,majira
query1623,"blanketi, nguo"
query717,"nne [hyp: Kardinali idadi], gurudumu"
query1661,"Hali [syn: hali], Muumba"
query938,mihogo
query1584,tilapia
query943,mswaki
query561,"""Mapigano jogoo"""
query1276,"Butuan, changamoto"
query1440,"lizard, dari"
query1047,"""Krismasi"""
query1398,"""Dada Adela"""
query945,tumbili [hyp: mnyama]
query1618,bia
query953,"mbao, mizizi"
query1295,"kuaminiwa, rafiki"
query1959,kamusi
query1035,"""Nyoka kubuni"""
query1345,"""Kalamu na Raba"""
query1386,<Kaa>
query527,"Kijapani, Kihispania"
query606,foil [hyp: chuma karatasi]
query1636,"""Gurudumu kiti"""
query822,tofaa [hyp: matunda]
query1162,pazia
query1686,"""Sielewi wewe"""
query869,"""Adui wa <panya>"""
query971,"kavu, mto"
query560,"""Miguu ya kuku"""
query427,"muziki, ngoma"
query789,"""Hakuna haki"""
query790,"""Tajiri sana"""
query1346,"""Nafuu masomo"""
query969,"""vuka barabara"""
query1379,"""Piano yangu mwalimu"""